X,Y,T,LAT,LNG,T
107492.811145594,1126345.05418008,90311.8,59.134217178,9.630875502,39.36693573
107492.823847322,1126345.0583267,90312,59.134217215,9.630875724,39.375072479
107492.826391501,1126345.04552095,90312.2,59.1342171,9.630875768,39.389034271
107492.84220883,1126345.03741992,90312.4,59.134217027,9.630876044,39.39617157
107492.849240486,1126345.0426694,90312.6,59.134217074,9.630876167,39.393817902
107492.842752513,1126345.05212549,90312.8,59.134217159,9.630876054,39.392654419
107492.840211173,1126345.06348308,90313,59.134217261,9.63087601,39.400966644
107492.843121166,1126345.06850168,90313.2,59.134217306,9.630876061,39.387638092
107492.858367073,1126345.05984255,90313.4,59.134217228,9.630876327,39.403461456
107492.855690455,1126345.05259645,90313.6,59.134217163,9.63087628,39.385860443
107492.735253098,1126344.95477589,90313.8,59.134216287,9.630874173,39.410587311
107492.735320178,1126344.94976312,90314,59.134216242,9.630874174,39.405281067
107492.732815532,1126344.94240596,90314.2,59.134216176,9.63087413,39.407691956
107492.731675965,1126344.93961878,90314.4,59.134216151,9.63087411,39.410747528
107492.743520451,1126344.94298394,90314.6,59.134216181,9.630874317,39.438785553
107492.743928637,1126344.93919722,90314.8,59.134216147,9.630874324,39.429698944
107492.743244241,1126344.9378591,90315,59.134216135,9.630874312,39.425735474
107492.744278479,1126344.93596737,90315.2,59.134216118,9.63087433,39.425415039
107492.873783874,1126344.81802829,90346,59.134215057,9.630876588,39.389602661
107492.875557139,1126344.81881155,90346.2,59.134215064,9.630876619,39.387172699
107492.876187996,1126344.81825579,90346.4,59.134215059,9.63087663,39.38999176
107492.868732209,1126344.82492504,90346.6,59.134215119,9.6308765,39.387794495
107492.869422284,1126344.82336683,90346.8,59.134215105,9.630876512,39.389492035
107492.869533074,1126344.8252608,90347,59.134215122,9.630876514,39.392566681
107492.867532114,1126344.82380871,90347.2,59.134215109,9.630876479,39.388069153
107492.866958945,1126344.82414178,90347.4,59.134215112,9.630876469,39.391307831
107492.868043663,1126344.82570347,90347.6,59.134215126,9.630876488,39.38841629
107492.868330576,1126344.82536984,90347.8,59.134215123,9.630876493,39.389888763
107492.868100478,1126344.82592638,90348,59.134215128,9.630876489,39.390037537
107492.868096983,1126344.82770874,90348.2,59.134215144,9.630876489,39.393096924
107492.869244414,1126344.82648561,90348.4,59.134215133,9.630876509,39.387874603
107492.863648192,1126344.81912239,90348.6,59.134215067,9.630876411,39.38917923
107492.862040348,1126344.82156999,90348.8,59.134215089,9.630876383,39.389511108
107492.8543715,1126344.82010678,90349,59.134215076,9.630876249,39.379543304
107492.845773525,1126344.82532562,90349.2,59.134215123,9.630876099,39.377784729
107492.849279621,1126344.81831443,90349.4,59.13421506,9.63087616,39.385040283
107492.864307226,1126344.80419638,90349.6,59.134214933,9.630876422,39.393741608
107492.865899563,1126344.809658,90349.8,59.134214982,9.63087645,39.403930664
107492.866518189,1126344.81534049,90350,59.134215033,9.630876461,39.396450043
107492.879111094,1126344.81659056,90350.2,59.134215044,9.630876681,39.395397186
107492.879507922,1126344.8185965,90350.4,59.134215062,9.630876688,39.376964569
107492.875382982,1126344.82003658,90350.6,59.134215075,9.630876616,39.358047485
107492.882596658,1126344.82005073,90350.8,59.134215075,9.630876742,39.358753204
107492.888313716,1126344.82418365,90351,59.134215112,9.630876842,39.364070892
107492.892034183,1126344.82463654,90351.2,59.134215116,9.630876907,39.374961853
107492.892038552,1126344.82240859,90351.4,59.134215096,9.630876907,39.37771225
107492.897033184,1126344.81540032,90351.6,59.134215033,9.630876994,39.396492004
107492.889123317,1126344.82006352,90351.8,59.134215075,9.630876856,39.370807648
107492.886316907,1126344.82061501,90352,59.13421508,9.630876807,39.365814209
107492.880876058,1126344.82160692,90352.2,59.134215089,9.630876712,39.37286377
107492.86456771,1126344.81734183,90352.4,59.134215051,9.630876427,39.362213135
107492.862160311,1126344.81878528,90352.6,59.134215064,9.630876385,39.369262695
107492.864784702,1126344.82346913,90352.8,59.134215106,9.630876431,39.387363434
107492.878365952,1126344.81703469,90353,59.134215048,9.630876668,39.392429352
107492.868064413,1126344.81512073,90353.2,59.134215031,9.630876488,39.392723083
107492.868923403,1126344.81501102,90353.4,59.13421503,9.630876503,39.389663696
107492.86433652,1126344.81845535,90353.6,59.134215061,9.630876423,39.367355347
107492.886557925,1126344.8144886,90353.8,59.134215025,9.630876811,39.3960495
107492.886959777,1126344.8139324,90354,59.13421502,9.630876818,39.396133423
107492.884495565,1126344.81515295,90354.2,59.134215031,9.630876775,39.396774292
107492.882372676,1126344.81748814,90354.4,59.134215052,9.630876738,39.399181366
107492.86489855,1126344.82380355,90354.6,59.134215109,9.630876433,39.387397766
107492.865120566,1126344.82736871,90354.8,59.134215141,9.630876437,39.391448975
107492.865806272,1126344.82803844,90355,59.134215147,9.630876449,39.388160706
107492.867236684,1126344.82848684,90355.2,59.134215151,9.630876474,39.385570526
107492.86895357,1126344.8288244,90355.4,59.134215154,9.630876504,39.384449005
107492.873245241,1126344.82994679,90355.6,59.134215164,9.630876579,39.391407013
107492.875297336,1126344.83451812,90355.8,59.134215205,9.630876615,39.393238068
107492.876326332,1126344.83529992,90356,59.134215212,9.630876633,39.39289093
