63,67,642,3,66.3757396449704
476111.584,6467215.545,-75877537.467
476111.643,6467215.570,60981595.440
476111.702,6467215.594,221600554.400
476111.762,6467215.619,81603094.560
476111.821,6467215.643,85830569.750
476111.880,6467215.668,38432716.280
476111.939,6467215.692,123429666.250
476111.999,6467215.717,-79984931.800
476112.058,6467215.741,-53384022.250
476112.117,6467215.766,225033800.560
476112.226,6467215.809,225329531.633
476112.349,6467215.857,-32870317.775
476112.472,6467215.905,-112321406.775
476112.594,6467215.953,-49598314.175
476112.717,6467216.001,-7647635.725
476112.840,6467216.048,-9488904.150
476112.962,6467216.096,29616719.600
476113.085,6467216.144,-165016656.700
476113.208,6467216.192,-74429986.150
476113.330,6467216.240,56377619.650
476113.475,6467216.296,-46191714.743
476113.625,6467216.354,29222553.133
476113.776,6467216.411,55391908.700
476113.926,6467216.469,101079269.644
476114.076,6467216.527,26408180.925
476114.227,6467216.584,27014088.756
476114.377,6467216.642,39798702.275
476114.527,6467216.700,25730237.556
476114.678,6467216.758,11640191.575
476114.828,6467216.815,22779089.489
476114.988,6467216.879,-47720611.425
476115.151,6467216.945,104110380.900
476115.314,6467217.011,-55429144.680
476115.477,6467217.077,-91302861.660
476115.640,6467217.142,-42450141.200
476115.803,6467217.208,-75417376.580
476115.966,6467217.274,13486128.300
476116.128,6467217.340,3381810.060
476116.291,6467217.405,-1574206.620
476116.454,6467217.471,-71391352.900
476116.615,6467217.534,51058184.375
476116.776,6467217.597,86544074.160
476116.937,6467217.659,56543011.960
476117.097,6467217.721,-22244825.400
476117.258,6467217.784,-22811318.500
476117.419,6467217.846,1980515.620
476117.579,6467217.908,36062320.689
476117.740,6467217.971,73882746.880
476117.901,6467218.033,56533380.800
476118.062,6467218.095,-24667697.180
476118.220,6467218.157,-110107278.733
476118.379,6467218.219,134167563.040
476118.537,6467218.281,2101209.740
476118.695,6467218.343,-42708436.109
476118.853,6467218.405,-77872527.640
476119.012,6467218.467,-80351271.740
476119.170,6467218.529,-46702307.109
476119.328,6467218.591,196474238.640
476119.486,6467218.653,64305666.100
476119.645,6467218.715,-15445182.545
476119.797,6467218.775,-6871093.633
476119.948,6467218.834,-86609612.600
476120.099,6467218.893,8313072.700
476120.250,6467218.952,-2317558.250
476120.401,6467219.011,-12133425.750
476120.552,6467219.070,4568293.925
476120.703,6467219.129,271891.325
476120.854,6467219.188,57951293.250
