FFID	Line	Point	Gps time(us)	UTC Date	UTC Time	Time Source	Latitude	Longitude	Comment
65	1.0	65.0	1333794883875748	2022-04-12	10:34:25.875748	GPS	590806.756	0093747.352	
66	1.0	66.0	1333794887801598	2022-04-12	10:34:29.801598	GPS	590806.684	0093747.460	
67	1.0	67.0	1333794891178588	2022-04-12	10:34:33.178588	GPS	590806.612	0093747.604	
68	1.0	68.0	1333794895429457	2022-04-12	10:34:37.429457	GPS	590806.540	0093747.712	
69	1.0	69.0	1333794902544099	2022-04-12	10:34:44.544099	GPS	590806.468	0093747.856	
70	1.0	70.0	1333794907005913	2022-04-12	10:34:49.005913	GPS	590806.396	0093748.000	
71	1.0	71.0	1333794919462324	2022-04-12	10:35:01.462324	GPS	590806.216	0093748.288	
72	1.0	72.0	1333794923133438	2022-04-12	10:35:05.133438	GPS	590806.144	0093748.468	
73	1.0	73.0	1333794928109536	2022-04-12	10:35:10.109536	GPS	590806.000	0093748.684	
74	1.0	74.0	1333794934414218	2022-04-12	10:35:16.414218	GPS	590805.928	0093748.900	
75	1.0	75.0	1333794940020983	2022-04-12	10:35:22.020983	GPS	590805.784	0093749.296	
76	1.0	76.0	1333794945345174	2022-04-12	10:35:27.345174	GPS	590805.712	0093749.512	
77	1.0	77.0	1333794950289042	2022-04-12	10:35:32.289042	GPS	590805.604	0093749.728	
78	1.0	78.0	1333794955495086	2022-04-12	10:35:37.495086	GPS	590805.568	0093749.944	
79	1.0	79.0	1333794960492562	2022-04-12	10:35:42.492562	GPS	590805.496	0093750.196	
80	1.0	80.0	1333794964664966	2022-04-12	10:35:46.664966	GPS	590805.496	0093750.196	
81	1.0	81.0	1333794969077919	2022-04-12	10:35:51.077919	GPS	590805.424	0093750.412	
82	1.0	82.0	1333795004702326	2022-04-12	10:36:26.702326	GPS	590804.992	0093751.708	
83	1.0	83.0	1333795009987772	2022-04-12	10:36:31.987772	GPS	590804.956	0093751.816	
84	1.0	84.0	1333795014372993	2022-04-12	10:36:36.372993	GPS	590804.884	0093751.960	
85	1.0	85.0	1333795019273275	2022-04-12	10:36:41.273275	GPS	590804.812	0093752.140	
86	1.0	86.0	1333795023893301	2022-04-12	10:36:45.893301	GPS	590804.776	0093752.212	
87	1.0	87.0	1333795027609816	2022-04-12	10:36:49.609816	GPS	590804.776	0093752.284	
88	1.0	88.0	1333795031447218	2022-04-12	10:36:53.447218	GPS	590804.776	0093752.320	
89	1.0	89.0	1333795035642292	2022-04-12	10:36:57.642292	GPS	590804.776	0093752.320	
90	1.0	90.0	1333795039110188	2022-04-12	10:37:01.110188	GPS	590804.740	0093752.320	
91	1.0	91.0	1333795043162086	2022-04-12	10:37:05.162086	GPS	590804.740	0093752.320	
92	1.0	92.0	1333795047336445	2022-04-12	10:37:09.336445	GPS	590804.740	0093752.356	
93	1.0	93.0	1333795054566114	2022-04-12	10:37:16.566114	GPS	590804.740	0093752.356	
94	1.0	94.0	1333795059212802	2022-04-12	10:37:21.212802	GPS	590804.740	0093752.320	
95	1.0	95.0	1333795063350734	2022-04-12	10:37:25.350734	GPS	590804.740	0093752.356	
96	1.0	96.0	1333795067590724	2022-04-12	10:37:29.590724	GPS	590804.776	0093752.356	
97	1.0	97.0	1333795071914637	2022-04-12	10:37:33.914637	GPS	590804.776	0093752.284	
98	1.0	98.0	1333795076118466	2022-04-12	10:37:38.118466	GPS	590804.812	0093752.248	
99	1.0	99.0	1333795080342558	2022-04-12	10:37:42.342558	GPS	590804.812	0093752.248	
100	1.0	100.0	1333795084125991	2022-04-12	10:37:46.125991	GPS	590804.848	0093752.212	
101	1.0	101.0	1333795091385759	2022-04-12	10:37:53.385759	GPS	590804.884	0093752.104	
102	1.0	102.0	1333795095662417	2022-04-12	10:37:57.662417	GPS	590804.884	0093752.068	
103	1.0	103.0	1333795099422489	2022-04-12	10:38:01.422489	GPS	590804.884	0093752.032	
104	1.0	104.0	1333795103021181	2022-04-12	10:38:05.021181	GPS	590804.956	0093751.852	
105	1.0	105.0	1333795110226074	2022-04-12	10:38:12.226074	GPS	590804.992	0093751.744	
106	1.0	106.0	1333795114524360	2022-04-12	10:38:16.524360	GPS	590805.028	0093751.564	
107	1.0	107.0	1333795118275086	2022-04-12	10:38:20.275086	GPS	590805.100	0093751.420	
108	1.0	108.0	1333795122665475	2022-04-12	10:38:24.665475	GPS	590805.136	0093751.276	
109	1.0	109.0	1333795126938654	2022-04-12	10:38:28.938654	GPS	590805.136	0093751.276	
110	1.0	110.0	1333795130910402	2022-04-12	10:38:32.910402	GPS	590805.172	0093751.096	
111	1.0	111.0	1333795134498811	2022-04-12	10:38:36.498811	GPS	590805.244	0093750.880	
112	1.0	112.0	1333795138843777	2022-04-12	10:38:40.843777	GPS	590805.352	0093750.664	
113	1.0	113.0	1333795142683714	2022-04-12	10:38:44.683714	GPS	590805.388	0093750.520	
114	1.0	114.0	1333795146404898	2022-04-12	10:38:48.404898	GPS	590805.388	0093750.520	
115	1.0	115.0	1333795150649287	2022-04-12	10:38:52.649287	GPS	590805.460	0093750.304	
116	1.0	116.0	1333795154885662	2022-04-12	10:38:56.885662	GPS	590805.568	0093750.052	
117	1.0	117.0	1333795158717067	2022-04-12	10:39:00.717067	GPS	590805.640	0093749.872	
118	1.0	118.0	1333795162892156	2022-04-12	10:39:04.892156	GPS	590805.712	0093749.692	
119	1.0	119.0	1333795166283479	2022-04-12	10:39:08.283479	GPS	590805.712	0093749.692	
120	1.0	120.0	1333795170107024	2022-04-12	10:39:12.107024	GPS	-590805.784	0000000.000	
121	1.0	121.0	1333795179603250	2022-04-12	10:39:21.603250	GPS	590805.964	0093749.116	
122	1.0	122.0	1333795184112396	2022-04-12	10:39:26.112396	GPS	590806.072	0093748.900	
123	1.0	123.0	1333795192880559	2022-04-12	10:39:34.880559	GPS	590806.144	0093748.684	
124	1.0	124.0	1333795196745900	2022-04-12	10:39:38.745900	GPS	590806.216	0093748.504	
125	1.0	125.0	1333795200114883	2022-04-12	10:39:42.114883	GPS	590806.360	0093748.216	
126	1.0	126.0	1333795214654388	2022-04-12	10:39:56.654388	GPS	590806.864	0093747.568	
127	1.0	127.0	1333795243469546	2022-04-12	10:40:25.469546	GPS	590807.800	0093746.848	
128	1.0	128.0	1333795248348493	2022-04-12	10:40:30.348493	GPS	590807.908	0093746.848	
129	1.0	129.0	1333795253418690	2022-04-12	10:40:35.418690	GPS	590807.980	0093746.848	
130	1.0	130.0	1333795257989814	2022-04-12	10:40:39.989814	GPS	590807.980	0093746.848	
131	1.0	131.0	1333795261826846	2022-04-12	10:40:43.826846	GPS	590808.016	0093746.848	
132	1.0	132.0	1333795265593898	2022-04-12	10:40:47.593898	GPS	590808.088	0093746.848	
133	1.0	133.0	1333795269631024	2022-04-12	10:40:51.631024	GPS	590808.124	0093746.884	
134	1.0	134.0	1333795277660547	2022-04-12	10:40:59.660547	GPS	590808.160	0093746.884	
135	1.0	135.0	1333795281810890	2022-04-12	10:41:03.810890	GPS	590808.196	0093746.920	
136	1.0	136.0	1333795285272442	2022-04-12	10:41:07.272442	GPS	590808.232	0093746.992	
137	1.0	137.0	1333795293326623	2022-04-12	10:41:15.326623	GPS	590808.232	0093747.028	
138	1.0	138.0	1333795297366322	2022-04-12	10:41:19.366322	GPS	590808.268	0093747.100	
139	1.0	139.0	1333795301530941	2022-04-12	10:41:23.530941	GPS	590808.304	0093747.172	
140	1.0	140.0	1333795306894727	2022-04-12	10:41:28.894727	GPS	590808.304	0093747.244	
141	1.0	141.0	1333795311483647	2022-04-12	10:41:33.483647	GPS	590808.268	0093747.316	
142	1.0	142.0	1333795316542165	2022-04-12	10:41:38.542165	GPS	590808.268	0093747.424	
143	1.0	143.0	1333795321807458	2022-04-12	10:41:43.807458	GPS	590808.304	0093747.496	
144	1.0	144.0	1333795326066026	2022-04-12	10:41:48.066026	GPS	590808.304	0093747.568	
145	1.0	145.0	1333795330518823	2022-04-12	10:41:52.518823	GPS	590808.268	0093747.640	
146	1.0	146.0	1333795339781968	2022-04-12	10:42:01.781968	GPS	590808.196	0093747.892	
147	1.0	147.0	1333795344463904	2022-04-12	10:42:06.463904	GPS	590808.196	0093747.964	
148	1.0	148.0	1333795348912570	2022-04-12	10:42:10.912570	GPS	590808.196	0093747.964	
149	1.0	149.0	1333795352994848	2022-04-12	10:42:14.994848	GPS	590808.160	0093748.000	
150	1.0	150.0	1333795356701327	2022-04-12	10:42:18.701327	GPS	590808.160	0093748.180	
151	1.0	151.0	1333795361146284	2022-04-12	10:42:23.146284	GPS	590808.124	0093748.288	
152	1.0	152.0	1333795366157852	2022-04-12	10:42:28.157852	GPS	590808.088	0093748.432	
153	1.0	153.0	1333795372900360	2022-04-12	10:42:34.900360	GPS	590808.016	0093748.612	
154	1.0	154.0	1333795377855220	2022-04-12	10:42:39.855220	GPS	590807.980	0093748.756	
155	1.0	155.0	1333795382538385	2022-04-12	10:42:44.538385	GPS	590807.944	0093748.864	
156	1.0	156.0	1333795387428611	2022-04-12	10:42:49.428611	GPS	590807.908	0093749.008	
157	1.0	157.0	1333795391210739	2022-04-12	10:42:53.210739	GPS	590807.908	0093749.080	
158	1.0	158.0	1333795395449616	2022-04-12	10:42:57.449616	GPS	590807.908	0093749.152	
159	1.0	159.0	1333795399447186	2022-04-12	10:43:01.447186	GPS	590807.908	0093749.152	
160	1.0	160.0	1333795403166451	2022-04-12	10:43:05.166451	GPS	590807.908	0093749.260	
161	1.0	161.0	1333795407843538	2022-04-12	10:43:09.843538	GPS	590807.872	0093749.368	
162	1.0	162.0	1333795412328527	2022-04-12	10:43:14.328527	GPS	590807.872	0093749.476	
163	1.0	163.0	1333795416232402	2022-04-12	10:43:18.232402	GPS	590807.836	0093749.584	
164	1.0	164.0	1333795473078311	2022-04-12	10:44:15.078311	GPS	590807.332	0093750.772	
165	1.0	165.0	1333795479374077	2022-04-12	10:44:21.374077	GPS	590807.296	0093750.880	
166	1.0	166.0	1333795484298439	2022-04-12	10:44:26.298439	GPS	590807.224	0093751.024	
167	1.0	167.0	1333795488958564	2022-04-12	10:44:30.958564	GPS	590807.188	0093751.168	
168	1.0	168.0	1333795493549430	2022-04-12	10:44:35.549430	GPS	590807.152	0093751.348	
169	1.0	169.0	1333795497015722	2022-04-12	10:44:39.015722	GPS	590807.080	0093751.528	
170	1.0	170.0	1333795501108344	2022-04-12	10:44:43.108344	GPS	590807.044	0093751.672	
171	1.0	171.0	1333795509350258	2022-04-12	10:44:51.350258	GPS	590806.972	0093751.852	
172	1.0	172.0	1333795514001229	2022-04-12	10:44:56.001229	GPS	590806.936	0093751.924	
173	1.0	173.0	1333795518203372	2022-04-12	10:45:00.203372	GPS	590806.900	0093752.032	
174	1.0	174.0	1333795525111803	2022-04-12	10:45:07.111803	GPS	590806.900	0093752.104	
175	1.0	175.0	1333795530167881	2022-04-12	10:45:12.167881	GPS	590806.900	0093752.140	
176	1.0	176.0	1333795535007139	2022-04-12	10:45:17.007139	GPS	590806.900	0093752.140	
177	1.0	177.0	1333795539322299	2022-04-12	10:45:21.322299	GPS	590806.900	0093752.104	
178	1.0	178.0	1333795543342601	2022-04-12	10:45:25.342601	GPS	590806.936	0093752.032	
179	1.0	179.0	1333795553582754	2022-04-12	10:45:35.582754	GPS	590807.008	0093751.852	
180	1.0	180.0	1333795557747715	2022-04-12	10:45:39.747715	GPS	590807.044	0093751.744	
181	1.0	181.0	1333795562134462	2022-04-12	10:45:44.134462	GPS	590807.080	0093751.600	
182	1.0	182.0	1333795566673681	2022-04-12	10:45:48.673681	GPS	590807.080	0093751.600	
183	1.0	183.0	1333795571061461	2022-04-12	10:45:53.061461	GPS	590807.116	0093751.528	
184	1.0	184.0	1333795575565759	2022-04-12	10:45:57.565759	GPS	590807.188	0093751.348	
185	1.0	185.0	1333795579947181	2022-04-12	10:46:01.947181	GPS	590807.260	0093751.168	
186	1.0	186.0	1333795586811271	2022-04-12	10:46:08.811271	GPS	590807.332	0093751.024	
187	1.0	187.0	1333795591202890	2022-04-12	10:46:13.202890	GPS	590807.368	0093750.880	
188	1.0	188.0	1333795595440617	2022-04-12	10:46:17.440617	GPS	590807.440	0093750.700	
189	1.0	189.0	1333795600436732	2022-04-12	10:46:22.436732	GPS	590807.548	0093750.484	
190	1.0	190.0	1333795604876336	2022-04-12	10:46:26.876336	GPS	590807.620	0093750.304	
191	1.0	191.0	1333795608975486	2022-04-12	10:46:30.975486	GPS	590807.692	0093750.124	
192	1.0	192.0	1333795613125852	2022-04-12	10:46:35.125852	GPS	590807.764	0093749.980	
193	1.0	193.0	1333795618358492	2022-04-12	10:46:40.358492	GPS	590807.872	0093749.800	
194	1.0	194.0	1333795623683986	2022-04-12	10:46:45.683986	GPS	590807.944	0093749.620	
195	1.0	195.0	1333795627913060	2022-04-12	10:46:49.913060	GPS	590807.944	0093749.620	
196	1.0	196.0	1333795631744603	2022-04-12	10:46:53.744603	GPS	590808.052	0093749.332	
197	1.0	197.0	1333795635327273	2022-04-12	10:46:57.327273	GPS	590808.124	0093749.224	
198	1.0	198.0	1333795639241524	2022-04-12	10:47:01.241524	GPS	590808.304	0093748.900	
199	1.0	199.0	1333795644455097	2022-04-12	10:47:06.455097	GPS	590808.412	0093748.792	
200	1.0	200.0	1333795740513429	2022-04-12	10:48:42.513429	GPS	590809.636	0093747.496	
201	1.0	201.0	1333795744571344	2022-04-12	10:48:46.571344	GPS	590809.672	0093747.496	
202	1.0	202.0	1333795749189104	2022-04-12	10:48:51.189104	GPS	590809.780	0093747.568	
203	1.0	203.0	1333795753909208	2022-04-12	10:48:55.909208	GPS	590809.780	0093747.568	
204	1.0	204.0	1333795759159657	2022-04-12	10:49:01.159657	GPS	590809.888	0093747.604	
205	1.0	205.0	1333795763427563	2022-04-12	10:49:05.427563	GPS	590809.888	0093747.604	
206	1.0	206.0	1333795767738590	2022-04-12	10:49:09.738590	GPS	590809.888	0093747.640	
207	1.0	207.0	1333795772799813	2022-04-12	10:49:14.799813	GPS	590809.924	0093747.676	
208	1.0	208.0	1333795777668877	2022-04-12	10:49:19.668877	GPS	590809.960	0093747.712	
209	1.0	209.0	1333795781798011	2022-04-12	10:49:23.798011	GPS	590809.960	0093747.712	
210	1.0	210.0	1333795785807183	2022-04-12	10:49:27.807183	GPS	590809.996	0093747.712	
211	1.0	211.0	1333795790056790	2022-04-12	10:49:32.056790	GPS	590809.960	0093747.748	
212	1.0	212.0	1333795799812718	2022-04-12	10:49:41.812718	GPS	590809.924	0093747.784	
213	1.0	213.0	1333795804367997	2022-04-12	10:49:46.367997	GPS	590809.924	0093747.820	
214	1.0	214.0	1333795808530922	2022-04-12	10:49:50.530922	GPS	590809.924	0093747.820	
215	1.0	215.0	1333795812668108	2022-04-12	10:49:54.668108	GPS	590809.888	0093747.856	
216	1.0	216.0	1333795816861381	2022-04-12	10:49:58.861381	GPS	590809.852	0093747.928	
217	1.0	217.0	1333795821372072	2022-04-12	10:50:03.372072	GPS	590809.816	0093748.000	
218	1.0	218.0	1333795825499476	2022-04-12	10:50:07.499476	GPS	590809.780	0093748.072	
219	1.0	219.0	1333795829694636	2022-04-12	10:50:11.694636	GPS	590809.780	0093748.072	
220	1.0	220.0	1333795833747904	2022-04-12	10:50:15.747904	GPS	590809.708	0093748.144	
221	1.0	221.0	1333795837602049	2022-04-12	10:50:19.602049	GPS	590809.672	0093748.216	
222	1.0	222.0	1333795841266871	2022-04-12	10:50:23.266871	GPS	590809.636	0093748.288	
223	1.0	223.0	1333795845240973	2022-04-12	10:50:27.240973	GPS	590809.600	0093748.324	
224	1.0	224.0	1333795849063115	2022-04-12	10:50:31.063115	GPS	590809.600	0093748.324	
225	1.0	225.0	1333795853202323	2022-04-12	10:50:35.202323	GPS	590809.564	0093748.396	
226	1.0	226.0	1333795857096984	2022-04-12	10:50:39.096984	GPS	590809.528	0093748.504	
227	1.0	227.0	1333795864298474	2022-04-12	10:50:46.298474	GPS	590809.456	0093748.540	
228	1.0	228.0	1333795868358743	2022-04-12	10:50:50.358743	GPS	590809.456	0093748.576	
229	1.0	229.0	1333795872897556	2022-04-12	10:50:54.897556	GPS	590809.384	0093748.612	
230	1.0	230.0	1333795877634956	2022-04-12	10:50:59.634956	GPS	590809.348	0093748.648	
231	1.0	231.0	1333795881011186	2022-04-12	10:51:03.011186	GPS	590809.312	0093748.720	
232	1.0	232.0	1333795884543358	2022-04-12	10:51:06.543358	GPS	590809.312	0093748.720	
233	1.0	233.0	1333795888484602	2022-04-12	10:51:10.484602	GPS	590809.312	0093748.756	
234	1.0	234.0	1333795892252553	2022-04-12	10:51:14.252553	GPS	590809.276	0093748.864	
235	1.0	235.0	1333795906727692	2022-04-12	10:51:28.727692	GPS	590809.204	0093749.188	
236	1.0	236.0	1333795911657392	2022-04-12	10:51:33.657392	GPS	590809.168	0093749.296	
237	1.0	237.0	1333795916493046	2022-04-12	10:51:38.493046	GPS	590809.132	0093749.404	
238	1.0	238.0	1333795920223308	2022-04-12	10:51:42.223308	GPS	590809.132	0093749.404	
239	1.0	239.0	1333795924038496	2022-04-12	10:51:46.038496	GPS	590809.132	0093749.476	
240	1.0	240.0	1333795927701970	2022-04-12	10:51:49.701970	GPS	590809.132	0093749.620	
241	1.0	241.0	1333795931305656	2022-04-12	10:51:53.305656	GPS	590809.096	0093749.692	
242	1.0	242.0	1333795941700766	2022-04-12	10:52:03.700766	GPS	590809.060	0093749.908	
243	1.0	243.0	1333795947521443	2022-04-12	10:52:09.521443	GPS	590809.024	0093750.016	
244	1.0	244.0	1333795952642114	2022-04-12	10:52:14.642114	GPS	590809.024	0093750.088	
245	1.0	245.0	1333795960483930	2022-04-12	10:52:22.483930	GPS	590808.988	0093750.196	
246	1.0	246.0	1333796002203024	2022-04-12	10:53:04.203024	GPS	590808.772	0093751.708	
247	1.0	247.0	1333796008800222	2022-04-12	10:53:10.800222	GPS	590808.700	0093751.924	
248	1.0	248.0	1333796014127119	2022-04-12	10:53:16.127119	GPS	590808.664	0093752.140	
249	1.0	249.0	1333796019933520	2022-04-12	10:53:21.933520	GPS	590808.628	0093752.392	
250	1.0	250.0	1333796024758543	2022-04-12	10:53:26.758543	GPS	590808.592	0093752.644	
251	1.0	251.0	1333796029360604	2022-04-12	10:53:31.360604	GPS	590808.592	0093752.932	
252	1.0	252.0	1333796035109863	2022-04-12	10:53:37.109863	GPS	590808.520	0093753.256	
253	1.0	253.0	1333796040977202	2022-04-12	10:53:42.977202	GPS	590808.484	0093753.616	
254	1.0	254.0	1333796046694867	2022-04-12	10:53:48.694867	GPS	590808.448	0093753.940	
255	1.0	255.0	1333796051751560	2022-04-12	10:53:53.751560	GPS	590808.412	0093754.156	
256	1.0	256.0	1333796057660184	2022-04-12	10:53:59.660184	GPS	590808.304	0093754.552	
257	1.0	257.0	1333796062852972	2022-04-12	10:54:04.852972	GPS	590808.304	0093754.660	
258	1.0	258.0	1333796068338094	2022-04-12	10:54:10.338094	GPS	590808.304	0093754.696	
259	1.0	259.0	1333796073470988	2022-04-12	10:54:15.470988	GPS	590808.304	0093754.696	
260	1.0	260.0	1333796078030344	2022-04-12	10:54:20.030344	GPS	590808.304	0093754.696	
261	1.0	261.0	1333796082475463	2022-04-12	10:54:24.475463	GPS	590808.304	0093754.696	
262	1.0	262.0	1333796086881304	2022-04-12	10:54:28.881304	GPS	590808.340	0093754.660	
263	1.0	263.0	1333796091348654	2022-04-12	10:54:33.348654	GPS	590808.340	0093754.588	
